Time (s),Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20,Node 21,Node 22,Node 23
0.355,"389.208, 280.196, 1.5","489.196, 437.234, 1.5","685.484, 125.229, 1.5","455.358, 217.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.36,"389.208, 280.196, 1.5","489.196, 437.234, 1.5","685.484, 125.229, 1.5","455.358, 217.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.365,"389.208, 280.196, 1.5","489.196, 437.234, 1.5","685.484, 125.229, 1.5","455.358, 217.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.37,"389.208, 280.196, 1.5","489.196, 437.234, 1.5","685.484, 125.229, 1.5","455.358, 217.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.375,"389.208, 280.196, 1.5","489.196, 437.234, 1.5","685.484, 125.229, 1.5","455.358, 217.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.38,"389.208, 280.196, 1.5","489.196, 437.234, 1.5","685.484, 125.229, 1.5","455.358, 217.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.385,"389.208, 280.196, 1.5","489.196, 437.234, 1.5","685.484, 125.229, 1.5","455.358, 217.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.39,"389.208, 280.196, 1.5","489.196, 437.234, 1.5","685.484, 125.229, 1.5","455.358, 217.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.395,"389.208, 280.196, 1.5","489.196, 437.234, 1.5","685.484, 125.229, 1.5","455.358, 217.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.4,"374.208, 305.196, 1.5","474.196, 462.234, 1.5","670.484, 150.229, 1.5","440.358, 242.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
